close,high,low,open,timestamp,volume
17155,17168,17135,17166,1670763600,44.84202330
17157,17157,17137,17155,1670767200,34.29738845
17157,17158,17146,17157,1670770800,29.71742689
17167,17169,17152,17158,1670774400,36.84134947
17177,17178,17166,17166,1670778000,33.53112142
17200,17213,17174,17177,1670781600,47.94559709
17178,17264,17143,17202,1670785200,183.01943774
17108,17178,17094,17178,1670788800,176.70735181
17113,17146,17098,17106,1670792400,59.42084897
17108,17129,17097,17113,1670796000,71.27413329
17091,17126,17080,17106,1670799600,102.08078033
16952,17089,16938,17089,1670803200,276.37597083
16954,16975,16928,16950,1670806800,87.42177519
16900,16955,16881,16954,1670810400,142.53255300
16916,16918,16883,16898,1670814000,61.53093600
16935,16938,16910,16916,1670817600,68.15978671
16950,16950,16928,16935,1670821200,74.97289931
16938,16950,16936,16949,1670824800,21.56714711
16928,16940,16912,16938,1670828400,36.87855801
16937,16938,16909,16928,1670832000,27.45056029
16964,16971,16935,16938,1670835600,39.38451871
16990,17003,16964,16964,1670839200,23.75765550
16988,16992,16983,16990,1670842800,28.76360335
16965,17005,16928,16988,1670846400,67.50267454
16976,17003,16962,16965,1670850000,42.44883970
17022,17038,16976,16976,1670853600,84.83402905
17012,17044,17001,17023,1670857200,67.05777956
17007,17022,16989,17012,1670860800,57.45712816
17016,17018,16989,17007,1670864400,72.93108747
17029,17032,17011,17020,1670868000,34.00362419
17044,17044,17008,17030,1670871600,43.25139974
17120,17120,17044,17044,1670875200,71.09953694
17178,17213,17122,17122,1670878800,116.39580996
17161,17189,17148,17181,1670882400,65.54331281
17209,17240,17161,17162,1670886000,83.73533917
17159,17239,17152,17214,1670889600,35.25482261
17148,17166,17147,17161,1670893200,20.16612389
17151,17156,17126,17148,1670896800,37.78226632
17153,17165,17138,17152,1670900400,104.68645873
17171,17186,17139,17153,1670904000,47.04474507
17193,17196,17168,17171,1670907600,43.65590473
17161,17218,17151,17192,1670911200,80.89881204
17169,17182,17093,17160,1670914800,122.36000268
17167,17192,17163,17169,1670918400,55.82520410
17429,17492,17164,17166,1670922000,307.74282412
17399,17473,17372,17434,1670925600,206.99720823
17448,17475,17391,17399,1670929200,186.82875953
17429,17494,17410,17451,1670932800,121.61971019
17903,18106,17404,17427,1670936400,1024.09950487
17874,17953,17842,17907,1670940000,196.06072322
17750,17887,17734,17876,1670943600,274.53526194
17747,17829,17722,17752,1670947200,127.19109315
17638,17780,17620,17747,1670950800,170.57140634
17713,17728,17629,17638,1670954400,135.86037731
17737,17780,17699,17713,1670958000,144.44574883
17749,17773,17706,17735,1670961600,104.62826572
17758,17765,17727,17747,1670965200,89.62134033
17763,17771,17704,17758,1670968800,103.60480427
17772,17801,17737,17763,1670972400,97.38364293
17815,17815,17750,17771,1670976000,95.79136266
17780,17829,17773,17815,1670979600,81.45732091
17792,17804,17756,17777,1670983200,82.29218576
17781,17831,17780,17798,1670986800,67.51864125
17769,17785,17752,17780,1670990400,90.28098892
17784,17786,17737,17769,1670994000,59.36834349
17783,17790,17761,17784,1670997600,43.71465270
17806,17812,17777,17781,1671001200,72.91733130
17840,17863,17793,17805,1671004800,70.01182819
